,Registration,Ballots Cast,Turnout (%),YES,NO,Under Vote,Over Vote
202900 - Election Day Reporting,664,215,32.38,133,37,42,0
203100 - Vote by Mail Reporting,724,347,47.93,230,73,31,0
203100 - Election Day Reporting,724,245,33.84,151,59,35,0
203200 - Vote by Mail Reporting,568,272,47.89,177,62,28,0
203200 - Election Day Reporting,568,205,36.09,127,50,27,1
203300 - Vote by Mail Reporting,647,350,54.1,254,63,27,0
203300 - Election Day Reporting,647,173,26.74,123,21,29,0
203400 - Vote by Mail Reporting,672,345,51.34,224,76,24,0
203400 - Election Day Reporting,672,209,31.1,137,34,38,0
203500 - Vote by Mail Reporting,1243,434,34.92,299,75,49,0
203500 - Election Day Reporting,1243,469,37.73,290,68,110,0
203800 - Vote by Mail Reporting,875,433,49.49,312,65,40,0
203800 - Election Day Reporting,875,296,33.83,210,40,46,0
204000 - Vote by Mail Reporting,1176,376,31.97,272,48,40,0
204000 - Election Day Reporting,1176,477,40.56,324,59,92,0
204100 - Vote by Mail Reporting,530,201,37.92,140,30,17,0
204100 - Election Day Reporting,530,194,36.6,134,28,32,0
204210 - Vote by Mail Reporting,1280,370,28.91,250,59,49,0
204210 - Election Day Reporting,1280,426,33.28,271,59,94,0
204220 - Vote by Mail Reporting,744,141,18.95,93,19,21,0
204220 - Election Day Reporting,744,268,36.02,158,32,76,0
204300 - Vote by Mail Reporting,1206,454,37.65,328,66,37,0
204300 - Election Day Reporting,1206,427,35.41,310,50,68,0
204310 - Vote by Mail Reporting,1128,451,39.98,320,81,43,0
